id;data;assunto;analista;motivo;status
1;2026-05-13T09:23:19.593008;res: equipamentos adc - criticalmed - /;Elton;Score forte 200;Categorizado
2;2026-05-13T09:23:19.659859;re: nf lote nao localizado no sap;Carolina;Qualidade PER;Categorizado
3;2026-05-13T09:23:19.732919;res: nf lote nao localizado no sap;Carolina;Qualidade PER;Categorizado
4;2026-05-13T09:23:19.780935;kit devolucao abbott nfd dev. vencidos - maio de - profarma/rj;Carolina;Qualidade PER;Categorizado
5;2026-05-13T09:23:19.975579;re: pendencia do credito no r$ . ,;Carolina;Score moderado 80;Categorizado
6;2026-05-13T09:23:20.031117;res: nf lote nao localizado no sap;Carolina;Qualidade PER;Categorizado
7;2026-05-13T09:23:20.092791;re: malote abbott / /;Carolina;Qualidade PER;Categorizado
8;2026-05-13T09:23:20.358677;res: pendencia do credito no r$ . ,;Carolina;Score moderado 80;Categorizado
9;2026-05-13T09:23:20.430450;devolucao abbott . . nfd;Carolina;Score moderado 80;Categorizado
10;2026-05-13T09:23:20.722626;res: res: oc - previsao de entrega;Carolina;Score moderado 80;Categorizado
11;2026-05-13T09:23:21.043264;nf lote nao localizado no sap;Carolina;Memória semântica 90;Categorizado
12;2026-05-13T09:23:21.081728;notas ag. d.u / /;Carolina;Qualidade PER;Categorizado
13;2026-05-13T09:23:21.129580;re: malote abbott / / - deliveries p/ ingresso;Carolina;Qualidade PER;Categorizado
14;2026-05-13T09:23:21.164195;emissao devolucao - abbott laboratorios do brasil;Carolina;Qualidade PER;Categorizado
15;2026-05-13T09:27:15.714568;res: sh: devolucoes pendentes;Carolina;Qualidade PER;Categorizado
16;2026-05-13T09:49:58.127546;res: solicitacao de emissao nfd aimara comercio e representacoes lt;Carolina;Score forte 240;Categorizado
